pair_id,location,rough_share_abs,which_min_wins,actual_error,adapt_predicted_sigma,expB_predicted_sigma,adapt_err_pp,expB_err_pp,diff_pp,contrib_gamma_roughness,z_A,z_B,x_rough,abs_total_contrib
2023PA009__2022PA028,Zawidz,0.37558343533222804,z_A,0.002067611332162,0.011850099066837,0.0124728962956898,0.9782487734675,1.0405284963527799,-0.062279722885279915,-0.4390608276570647,-1.2660353667643112,-1.247208864038447,-1.2660353667643112,1.169010095636105
2022PA028__2023PA009,Zawidz,0.37504046968377225,z_A,0.0019004558827328,0.0118602976181099,0.0124575194058578,0.99598417353771,1.0557063523125,-0.05972217877479001,-0.4380654748700113,-1.26316525913585,-1.2524011688790864,-1.26316525913585,1.1680485448393894
2021PA009__2023PA003,Sundern,0.30120753639747766,z_B,0.0105317236405995,0.0040154165979592,0.0045844040700888,-0.65163070426403,-0.5947319570510701,-0.05689874721295993,-0.5317523945711724,0.7280646499201013,-1.5333122325696105,-1.5333122325696105,1.7654020245677537
2024PA049__2023PA032,Pelczyce,0.28749559340081765,z_A,0.0049925971212212,0.0307694303561314,0.0431421226958297,2.5776833234910197,3.81495255746085,-1.23726923396983,-0.1695205208460089,-0.4888137617027074,0.6706885350761775,-0.4888137617027074,0.5896456319233684
2023PA032__2024PA049,Pelczyce,0.2845945052320411,z_A,0.005067036798209,0.0307404488815878,0.0430598630349757,2.56734120833788,3.7992826236766697,-1.23194141533879,-0.1680673485239605,-0.4846235278266094,0.6712164501690063,-0.4846235278266094,0.5905502229810395
2020PA013__2023VR137,Janneby,0.27888646454487115,z_B,0.0018267677603805,0.0055471918298974,0.0059381321593384,0.37204240695169,0.41113643989578996,-0.039094032944099986,-0.568042797569887,-1.005358260131545,-1.6379558964456973,-1.6379558964456973,2.0368245497209934
2023VR137__2020PA013,Janneby,0.2788846595895954,z_B,0.0018259747390347,0.0055471146198865,0.0059380665378342,0.37211398808518004,0.41120917987995,-0.039095191794769925,-0.568042797569887,-1.011489287838564,-1.6379558964456973,-1.6379558964456973,2.0368377321499667
2023PA031__2021PA007,Pyrzyce III,0.2201530365518961,z_A,0.0535838608737997,0.0341245794051505,0.0418646433807877,-1.9459281468649205,-1.1719217493012004,-0.7740063975637201,-0.1489964254599289,-0.429632370440181,0.2388957295899242,-0.429632370440181,0.6767856932321092
2012WM006__2017PA006,Malarberget,0.21624421081149017,z_B,0.0045638752324451,0.0232457118484491,0.0204757750071968,1.8681836616004002,1.59118997747517,0.2769936841252301,0.188401656469654,1.9181008682416691,0.5432576655047543,0.5432576655047543,0.8712448567415857
2021PA007__2023PA031,Pyrzyce III,0.21377037080884304,z_A,0.0511236256890393,0.0343692973294003,0.0416150651600082,-1.6754328359638997,-0.9508560529031096,-0.7245767830607902,-0.1432187187082482,-0.4129723073563159,0.2113006033097686,-0.4129723073563159,0.6699652443243256
