pair_id,group,A_magnitude,B_mismatch,min_AB,which_wins,cancellation_idx,opp_sign_sectors,opp_sign_weight,abs_e_overall
2022PA020__2022PA021,OTHER_EXCL,0.0,0.0,0.0,B,0.0,0,0.0,0.015087024682230932
2021PA013__2022PA021,OTHER_EXCL,0.0,0.0,0.0,B,0.0,0,0.0,0.029421320720266066
2024KA001__2024KA002,KEPT,0.0,0.0,0.0,B,0.0,0,0.0,0.018480756228406996
2023PA085__2023PA001,OTHER_EXCL,0.0,0.0,0.0,B,0.0,0,0.0,0.005327710583998868
2024KA002__2024KA001,KEPT,0.0,0.0,0.0,B,0.0,0,0.0,0.018304545635832267
2024PA020__2023PA001,KEPT,0.0,0.0,0.0,B,0.0,0,0.0,0.0071583049674859844
2024PA020__2023PA085,OTHER_EXCL,0.0,0.0,0.0,B,0.0,0,0.0,0.0036861818134303523
2023PA001__2024PA020,KEPT,0.0,0.0,0.0,B,0.0,0,0.0,0.008170616424095273
2024PA013__2024PA094,KEPT,0.004610113000000003,0.004395408000000001,0.004395408000000001,B,-0.04884757000942859,4,0.4259400000000001,0.09996059240195514
2024PA094__2024PA013,KEPT,0.004552297999999998,0.004324472,0.004324472,B,-0.052682963376800174,4,0.42674999999999996,0.11706276520250132
2023PA009__2022PA028,KEPT,0.0009351759999999942,0.0008723759999999829,0.0008723759999999829,B,-0.0719873082249082,0,0.0,0.002067611332162055
2022PA028__2023PA009,KEPT,0.0009417600823991698,0.0008602703972960098,0.0008602703972960098,B,-0.09472566458092392,0,0.0,0.001900455882732864
2024PA107__2024PA061,OTHER_EXCL,0.005361062500000014,0.00472454300000008,0.00472454300000008,B,-0.13472615234953378,4,0.2225,0.05047798224366847
2024PA014__2024PA013,OTHER_EXCL,0.005076899500000005,0.004286644999999997,0.004286644999999997,B,-0.18435268140935598,5,0.3559,0.037138708850647725
2024PA061__2024PA107,OTHER_EXCL,0.0053657283145663055,0.004451743034860785,0.004451743034860785,B,-0.20530953214241468,4,0.1476029520590412,0.04645569164736748
2024PA024__2023PA032,KEPT,0.004436958130418684,0.003585131148688459,0.003585131148688459,B,-0.23759995001629072,2,0.09964900350996489,0.04439925112413459
2023PA032__2024PA024,KEPT,0.0045859669999999885,0.0035845539999999386,0.0035845539999999386,B,-0.27936892567389615,2,0.08862,0.04281852552381482
2024PA013__2024PA014,OTHER_EXCL,0.005261937000000005,0.0040444199999999965,0.0040444199999999965,B,-0.3010362425267428,5,0.35085000000000005,0.07100223317261549
2023PA062__2022PA017,KEPT,0.006161323499999994,0.004627931000000014,0.004627931000000014,B,-0.33133434789757576,0,0.0,0.08738661050518806
2023PA004__2023PA003,KEPT,0.007193605999999996,0.004818590000000043,0.004818590000000043,B,-0.4928860932347288,3,0.19672,0.03430532557425242
2011WM011__2014WM011,FOREST,0.01755059880239521,0.011715169660678674,0.011715169660678674,B,-0.4981088034348179,2,0.16666666666666666,0.028964395234551656
2023PA003__2023PA004,KEPT,0.007301993480065196,0.0048104628953710895,0.0048104628953710895,B,-0.5179398820624109,3,0.1913480865191348,0.03513092398041238
2024PA070__2024PA028,KEPT,0.004591833418334185,0.002984814848148495,0.002984814848148495,B,-0.538398075573276,0,0.0,0.010569859940798518
2024PA028__2024PA070,KEPT,0.004623833738337386,0.0029885988859888767,0.0029885988859888767,B,-0.5471576865048043,0,0.0,0.010426921354650618
2021PA009__2023PA004,KEPT,0.007277515724842733,0.00468541214587856,0.00468541214587856,B,-0.5532285097361757,3,0.1913480865191348,0.0439623939155673
2022PA017__2023PA062,KEPT,0.005325459754597545,0.003391798917989194,0.003391798917989194,B,-0.5700989013094885,0,0.0,0.07981836802182686
