pair_id,MM,WTG,group,magnitude,mismatch,ratio_mismatch_over_magnitude,abs_e_overall,distance_m,dz
2022PA005__2023PA038,2023PA038,2022PA005,KEPT,0.004266734165316686,0.007234082318353666,1.6954612211742366,0.02888014093149872,4594.77017923639,-7.5
2019PA023__2019PA024,2019PA024,2019PA023,KEPT,0.0043270387296126854,0.010381006189938077,2.3991017503250505,0.1355354758864165,1658.946955149561,115.8
2019PA024__2019PA023,2019PA023,2019PA024,KEPT,0.004434957499999985,0.009108704999999988,2.053842680566842,0.14784710817784852,1658.946955149561,-115.8
2024PA024__2023PA032,2023PA032,2024PA024,KEPT,0.004436958130418684,0.003585131148688459,0.8080155465316856,0.04439925112413459,8273.984892420338,-2.800000000000011
2012WM012__2014WM002,2014WM002,2012WM012,KEPT,0.004490125598744004,0.009602156978430207,2.1385052082098017,0.017941559577278197,6258.869706264862,14.80000000000001
2024PA094__2024PA013,2024PA013,2024PA094,KEPT,0.004552297999999998,0.004324472,0.9499536278161056,0.11706276520250132,1286.024883118519,-99.20000000000005
2014WM002__2012WM012,2012WM012,2014WM002,KEPT,0.004553357533575328,0.009942795427954272,2.183618429837448,0.015359882355140431,6258.869706264862,-14.80000000000001
2023PA032__2024PA024,2024PA024,2023PA032,KEPT,0.0045859669999999885,0.0035845539999999386,0.7816353671973539,0.04281852552381482,8273.984892420338,2.800000000000011
2024PA070__2024PA028,2024PA028,2024PA070,KEPT,0.004591833418334185,0.002984814848148495,0.6500268141763992,0.010569859940798518,3394.473449594208,11.7
2024PA013__2024PA094,2024PA094,2024PA013,KEPT,0.004610113000000003,0.004395408000000001,0.9534273888731138,0.09996059240195514,1286.024883118519,99.20000000000005
2024PA028__2024PA070,2024PA070,2024PA028,KEPT,0.004623833738337386,0.0029885988859888767,0.6463465286845503,0.010426921354650618,3394.473449594208,-11.7
2023PA038__2022PA005,2022PA005,2023PA038,KEPT,0.004756898931010687,0.007500851991480112,1.5768365273815947,0.03004372321642684,4594.77017923639,7.5
2021PA007__2023PA025,2023PA025,2021PA007,KEPT,0.005161531999999988,0.006177908000000004,1.1969136295193012,0.036122265181059605,6297.543171745629,-12.89999999999999
2023PA025__2021PA007,2021PA007,2023PA025,KEPT,0.005184373999999986,0.006107369999999998,1.1780342236111851,0.037505614891954246,6297.543171745629,12.89999999999999
2022PA017__2023PA062,2023PA062,2022PA017,KEPT,0.005325459754597545,0.003391798917989194,0.6369025538238282,0.07981836802182686,16697.94316674961,46.40000000000001
2019PA023__2020PA011,2020PA011,2019PA023,KEPT,0.005417559999999993,0.008719942000000043,1.609569990918431,0.16404124059345146,1534.345463055827,102.6
2020PA011__2019PA023,2019PA023,2020PA011,KEPT,0.006132265499999987,0.00864064700000004,1.4090464608879145,0.17997019624534774,1534.345463055827,-102.6
2023PA062__2022PA017,2022PA017,2023PA062,KEPT,0.006161323499999994,0.004627931000000014,0.7511261176271654,0.08738661050518806,16697.94316674961,-46.40000000000001
2018PA006__2018PA014,2018PA014,2018PA006,KEPT,0.0062824390000000025,0.007113346000000001,1.1322586657825087,0.054552817655395096,4248.672380873818,36.79999999999998
2018PA014__2018PA006,2018PA006,2018PA014,KEPT,0.006894196058039422,0.00694567254327457,1.0074666407514072,0.055757694786604,4248.672380873818,-36.79999999999998
2021PA009__2023PA003,2023PA003,2021PA009,KEPT,0.007047158999999977,0.00022626600000001272,0.032107406686866784,0.01053172364059954,61.1310068623117,0.4000000000000341
2023PA004__2023PA003,2023PA003,2023PA004,KEPT,0.007193605999999996,0.004818590000000043,0.6698434693254045,0.03430532557425242,1400.396015418496,67.30000000000001
2021PA009__2023PA004,2023PA004,2021PA009,KEPT,0.007277515724842733,0.00468541214587856,0.643820270959265,0.0439623939155673,1349.667366427743,-66.89999999999998
2023PA003__2023PA004,2023PA004,2023PA003,KEPT,0.007301993480065196,0.0048104628953710895,0.6587876185460713,0.03513092398041238,1400.396015418496,-67.30000000000001
2023PA004__2021PA009,2021PA009,2023PA004,KEPT,0.007666279499999974,0.004201449000000004,0.5480427631160615,0.042588006225736524,1349.667366427743,66.89999999999998
2021PA013__2022PA021,2022PA021,2021PA013,OTHER_EXCL,0.0,0.0,,0.029421320720266066,7555.645902237611,0.0
2022PA020__2022PA021,2022PA021,2022PA020,OTHER_EXCL,0.0,0.0,,0.015087024682230932,7131.631089729754,-8.700000000000045
2022PA021__2021PA013,2021PA013,2022PA021,OTHER_EXCL,0.0,0.0,,0.030530444370730866,7555.645902237611,0.0
2022PA021__2022PA020,2022PA020,2022PA021,OTHER_EXCL,0.0,0.0,,0.015394157324670647,7131.631089729754,8.700000000000045
2023PA001__2023PA085,2023PA085,2023PA001,OTHER_EXCL,0.0,0.0,,0.0005505108584223565,7390.531036400565,100.2
2023PA085__2023PA001,2023PA001,2023PA085,OTHER_EXCL,0.0,0.0,,0.005327710583998868,7390.531036400565,-100.2
2024PA020__2023PA085,2023PA085,2024PA020,OTHER_EXCL,0.0,0.0,,0.0036861818134303523,4705.454813299135,42.20000000000005
2024PA014__2024PA013,2024PA013,2024PA014,OTHER_EXCL,0.005076899500000005,0.004286644999999997,0.8443430877447924,0.037138708850647725,1213.405950207926,-64.0
2024PA013__2024PA014,2024PA014,2024PA013,OTHER_EXCL,0.005261937000000005,0.0040444199999999965,0.7686180963398066,0.07100223317261549,1213.405950207926,64.0
2024PA107__2024PA061,2024PA061,2024PA107,OTHER_EXCL,0.005361062500000014,0.00472454300000008,0.8812698975249902,0.05047798224366847,12404.25834139228,-4.0
2024PA061__2024PA107,2024PA107,2024PA061,OTHER_EXCL,0.0053657283145663055,0.004451743034860785,0.8296624006801964,0.04645569164736748,12404.25834139228,4.0
2022PA018__2023PA046,2023PA046,2022PA018,OTHER_EXCL,0.017465089000000007,0.008477193999999976,0.4853793759653886,0.056695744828435216,4847.097791462434,-60.5
2023PA046__2022PA018,2022PA018,2023PA046,OTHER_EXCL,0.01801152788472115,0.010008647913520833,0.5556801165108811,0.03981268427684137,4847.097791462434,60.5
